title,artist,magnet
Sadsic – [stranger ways] [2009] [EP],Sadsic,magnet:?xt=urn:btih:93841878eaaf4d1de6bf4b184b8dabe0df2ec1ae&dn=Sadsic+-+%5Bstranger+ways%5D+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
My Enhanced Little Rhubarb – In Memory of Rupert Cloud [2011] [Album],My Enhanced Little Rhubarb,magnet:?xt=urn:btih:db841cb655beff9981b64318af080332a23422ed&dn=My+Enhanced+Little+Rhubarb+-+In+Memory+of+Rupert+Cloud+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Spanish Prisoners – Downtown Chicagoland [2012] [Single],Spanish Prisoners,magnet:?xt=urn:btih:1b62de295df4d72376fba20ff28655f558e84bd1&dn=Spanish+Prisoners+-+Downtown+Chicagoland+single+(2012)+320+&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [son] [2010] [EP],Sadsic,magnet:?xt=urn:btih:9a0707e7cef9ace8ba042d2f8f072b2357b302b8&dn=Sadsic+-+%5Bson%5D+V0+44100&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Addae Dans – Lumen [2011] [EP],Addae Dans,magnet:?xt=urn:btih:f64ea181465ee6782e6a7c21893bb01634e5ee8c&dn=Addae+Dans+-+Lumen+EP+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Casey LaLonde – In June [2010] [EP],Casey LaLonde,magnet:?xt=urn:btih:f436f099f131e53464220c2ed944a78e37d95abd&dn=Casey+LaLonde+-+In+June+(2010)+-+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Oskoreien – Oskoreien [2011] [Album],Oskoreien,magnet:?xt=urn:btih:2aa49c69e983de6144f256e76f8698c90122ec8f&dn=Oskoreien+-+Oskoreien+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Great American Desert – The Monsters/Bathroom Sessions [2011] [Album],Great American Desert,magnet:?xt=urn:btih:4e55ad31b99f8ea369d2601032b3a09083521aac&dn=South+of+Lincoln+-+The+Monsters%E2%80%8B_Bathroom+Sessions+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Wet Stallions – Wet Stallions I [2010] [Album],Wet Stallions,magnet:?xt=urn:btih:294e4ebd00ea0862463cc2b9f21f21df38cb1346&dn=Wet+Stallions+-+Wet+Stallions+I+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Midi Matilda – Red Light District [2012] [EP],Midi Matilda,magnet:?xt=urn:btih:0ab2f80497ef65561411ad921d35c4b4509e9ef0&dn=Midi+Matilda+-+Red+Light+District+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Charts and Maps – Dead Horse [2011] [Album],Charts and Maps,magnet:?xt=urn:btih:aec0d725fd65da958f06dfcbd1135b0787765996&dn=Charts+and+Maps+-+Dead+Horse+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Obstacles – Oscillate [2011] [EP],Obstacles,magnet:?xt=urn:btih:09fd0297d59dadbc448e927920de4a8d84b9eead&dn=Obstacles+-+Oscillate+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Ices Ov – Memoria [2009] [EP],Ices Ov,magnet:?xt=urn:btih:32f547912b9f0ea28513f7c60c559b9c7169b506&dn=Ices+Ov+-+Memoria+(2009)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
seedmole – Hibernation [2012] [Live album],seedmole,magnet:?xt=urn:btih:1e098ec001c7278407beb0f1083fde15abe40174&dn=seedmole+-+hibernation+(2012)+v0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – Symbol [2012] [Album],Sadsic,magnet:?xt=urn:btih:584a2fcd36fa2ae346370cdee132bfe93fe9bf8a&dn=Sadsic+-+Symbol+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
King Imagine & Pankifared – Episodes (Concerto For Two Pianos & String Quartet) [2014] [Album],King Imagine & Pankifared,magnet:?xt=urn:btih:6cc92df1f831aec762438574a10cfc96308de25e&dn=King+Imagine+%26+Pankifared+-+Episodes+(Concerto+For+Two+Pianos+%26+String+Quartet)+(2014)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
NP – Sex_(VI) [2011] [Album],NP,magnet:?xt=urn:btih:12a6816e3e094c404c1798386576ef6dcc8b9371&dn=NP+-+Sex_(VI)+(2011)+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Conelrad – Five Automatic Landings [2011] [EP],Conelrad,magnet:?xt=urn:btih:aca3744f9724fdfdaf15a9c2140eddb725c624b7&dn=conelrad+-+Five+Automatic+Landings+(2011)+%5BWEB+V0%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Lambs – Lambs [2013] [Album],Lambs,magnet:?xt=urn:btih:fac23cefe7e614b4f164dc9f19e7ce6216620332&dn=Lambs+-+Lambs+(2013)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Cullah – Killah Cullah [2008] [Album],Cullah,magnet:?xt=urn:btih:eb90a5fd76b00be94b8cb1c857f2ee876248cb64&dn=Cullah+-+Killah+Cullah+(2008)+-+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Cambrian Explosion – The Sun [2013] [EP],Cambrian Explosion,magnet:?xt=urn:btih:34bad9897173d654730fc63ea07e60402e6b42b5&dn=Cambrian+Explosion+-+The+Sun+EP+(2013)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Seatraffic – Crimes [2012] [EP],Seatraffic,magnet:?xt=urn:btih:4b1b4ac6cd0ed6fbb11dc326735188c77b2df6c1&dn=Seatraffic+-+Crimes+7-inch+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Man & Ghost – Shoutalong [2012] [Single],Man & Ghost,magnet:?xt=urn:btih:24dff3ec43b29549e05b4450654475c0fe00a7e6&dn=Man+%26+Ghost+-+Shout+Along+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nostalgic Story – Simplicity If Nothing Else [2012] [Album],Nostalgic Story,magnet:?xt=urn:btih:e0c62fcfb240791b059e9f2a98057e143023c9cd&dn=Simplicity+If+Nothing+Else&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Big Mean Sound Machine – Warrior [2012] [Album],Big Mean Sound Machine,magnet:?xt=urn:btih:4cc4182893fd3a135258f2c6d69e6d3782f196c6&dn=Big+Mean+Sound+Machine+-+Warrior+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Demon Cleaner – Blue Again [2014] [Album],Demon Cleaner,magnet:?xt=urn:btih:06e54a67909ed36ac4b4d251c20f6836e650c918&dn=Demon+Cleaner+-+Blue+Again+(2014)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Broken Fences – Broken Fences [2012] [Album],Broken Fences,magnet:?xt=urn:btih:1939d2773ebb9965e429029fb93f2705d7d5e9a9&dn=Broken+Fences+-+Broken+Fences+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Lee Rosevere – Asimov (music inspired by the writings of) [2012] [Album],Lee Rosevere,magnet:?xt=urn:btih:12ae2b8bf4412e49e03d8bfe98ad27fc98288ee1&dn=Lee+Rosevere+-+Asimov+(music+inspired+by+the+writings+of)+(2012)+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
adcBicycle – Malignant Cove [2015] [Album],adcBicycle,magnet:?xt=urn:btih:73514d745b98d0435d015a91a4ecf560c69fc4f2&dn=SCL162+MP3+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
equalszee – =Z [2011] [Album],equalszee,magnet:?xt=urn:btih:c130b4336999e581f44035387945df9ad712cce2&dn=equalszee+-+%3DZ+(v0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
"Helicalin – Everyting So Stoned, Everything Is Bad [2015] [EP]",Helicalin,magnet:?xt=urn:btih:ad01ad226b8eaf5549a39d937dded44bde338d2e&dn=Helicalin+-+Everyting+So+Stoned%2C+Everything+Is+Bad+(2015)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Gavin Coetzee – Orange Forest [2011] [Album],Gavin Coetzee,magnet:?xt=urn:btih:77881040d6f449d071dc3531e7fb0dd67f18c941&dn=Gavin+Coetzee+(2011)+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Elephant In The Room – S-C-I-E-N-C-E [2014] [EP],Elephant In The Room,magnet:?xt=urn:btih:340eb57930536b78be68485bcdcf3ec522690bd9&dn=Elephant+In+The+Room+-+S-C-I-E-N-C-E+(2014)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
seedmole – This Should [2012] [Album],seedmole,magnet:?xt=urn:btih:459874612688b03fe369fe97f637ffb153f2a021&dn=seedmole+-+this+should+(2012)+extended+v0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Stories From The Lost – For Clouds [2012] [Album],Stories From The Lost,magnet:?xt=urn:btih:43842c17d674277b7d343674d331fcb1d47200c6&dn=Stories+From+The+Lost+-+For+Clouds+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
QQROACH – RIVER (Radio Edit) [2014] [Single],QQROACH,magnet:?xt=urn:btih:0fea80ce5cedba65283e3e5616d9167f12c1bda5&dn=River+(RADIO+EDIT).mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Jim Tablowski Experience – SHOULD WE MAKE IT XXXTRA CREAMY ?? [2015] [Album],The Jim Tablowski Experience,magnet:?xt=urn:btih:a2acdfda4a9da275f17bedbde2fb2f1b97bf2a34&dn=The+Jim+Tablowski+Experience+-+SHOULD+WE+MAKE+IT+XXXTRA+CREAMY+(2015)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Commonplaces – A private sea [2011] [Album],Commonplaces,magnet:?xt=urn:btih:8ed2e212fa90d01b91c9f27ea75d0fd4665a213c&dn=Commonplaces+-+A+private+sea+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Maharajah with Charl and H-sie – Good Hearted Woman [2012] [Album],Maharajah,magnet:?xt=urn:btih:cdceb58b04cd7bc285a5caeb6d8aa6ab97d92145&dn=Maharajah+-+Good+Hearted+Woman+(2012)+-+16-44.1+v0+web+rip&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Big Joe Daddy – 11:11 [2014] [Album],Big Joe Daddy,magnet:?xt=urn:btih:345699cc10bdb566307f5d48f82ea9eec7ad2416&dn=Big+Joe+Daddy+-+11-11+(2014)+%5BMP3+320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
seedmole – Converzhe [2012] [Album],seedmole,magnet:?xt=urn:btih:9e35b0a81481a4acd56d32d693833227534280cc&dn=seedmole+-+converzhe+(2012)+v0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
