title,artist,magnet
Bear Baiting – Bear Baiting [2011] [EP],Bear Baiting,magnet:?xt=urn:btih:b494c730bd342830090abf86b0b5645185fe8c9b&dn=Bear+Baiting+-+Bear+Baiting+E.P+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sledding With Tigers – WOAHbots! (And People) [2009] [Album],Sledding With Tigers,magnet:?xt=urn:btih:403586849e8c2567193ba689c83d376556d67be4&dn=WOAHBOTS&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Burdeos – The Other Space Stories [2011] [Remix],Burdeos,magnet:?xt=urn:btih:389e1a84c1ab10198bff26931bd70e246ff749a6&dn=vbr&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Conveyor – Mukraker [2012] [Single],Conveyor,magnet:?xt=urn:btih:cffbeafed82236e915c2013a8b64dbe11a8bcba7&dn=Conveyor+-+Mukraker+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Aavepyörä – Tie ja vaeltaja [2008] [Album],Aavepyörä,magnet:?xt=urn:btih:595bdf59711b73dcb59eb6d2b1a70dc343754f27&dn=Aavepyora+-+Tie+ja+vaeltaja+(2009)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nostalgic Story – The Last Stretch In This Direction [2011] [Album],Nostalgic Story,magnet:?xt=urn:btih:fe4ed2251f6b329a47a49554819501db35575858&dn=Nostalgic+Story+-+The+Last+Stretch+In+This+Direction+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Luke Seymoup – Hand-Me-Downs [2018] [Single],Luke Seymoup,magnet:?xt=urn:btih:e3b0b5909fc40b5c0edfc45d335d3fdecfc7caab&dn=Luke+Seymoup+-+Hand-Me-Downs+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
wecollectskies – Of Clouds [2011] [EP],wecollectskies,magnet:?xt=urn:btih:529dea98d589406ca41cc9aa0e20d473e47c8f42&dn=wecollectskies+-+Of+Clouds+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
equalszee – This is Peculiar [2009] [EP],equalszee,magnet:?xt=urn:btih:4b1b974e0036b64e73c2dd5ece6a7e7f57e96e51&dn=equalszee+-+This+is+Peculiar+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Nevermind the Name – A Gaze into the Abyss [2011] [Album],Nevermind the Name,magnet:?xt=urn:btih:ef2911f88357ad9e57f4489b28d3fe9d8efcb590&dn=Nevermind+the+Name+-+A+Gaze+into+the+Abyss+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
KIDS. and Sledding With Tigers – Sledding With Tigers/KIDS. Split [2011] [Album],KIDS.,magnet:?xt=urn:btih:8648bd27e087a7e5470ec25432fcd1c43ed94cab&dn=Sledding+With+Tigers%E2%80%8B.KIDS.+Split%0A-+Sledding+With+Tigers+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Luke Seymoup – Poke'Gods [2019] [EP],Luke Seymoup,magnet:?xt=urn:btih:0a2426a11ef6a49a5d656a7972aeef9b3b71f1a1&dn=Luke+Seymoup+-+Poke'Gods+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Clouds as Oceans – TIDES [2011] [EP],Clouds as Oceans,magnet:?xt=urn:btih:276100a865ca00179d39d33ad758c507302a3a90&dn=Clouds+as+Oceans+-+TIDES+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
ch4rl33 – Moving Down Motions [2009] [Album],ch4rl33,magnet:?xt=urn:btih:ebdb433406c4cb270fe389bdfad586042699d093&dn=Moving+Down+Motions+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
ch4rl33 – The Way [2010] [Album],ch4rl33,magnet:?xt=urn:btih:fa95b6440adb75075a4b11daba710f1f91e876a4&dn=Charlee+-+The+Way+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Consciousness Removal Project – The Last Season [2011] [Album],Consciousness Removal Project,magnet:?xt=urn:btih:3c8a11292446eb5f271f561fc364c1065d5ffd51&dn=Consciousness+Removal+Project+-+The+Last+Season+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Guppies – In Reference to Something Forgotten [2009] [Album],Guppies,magnet:?xt=urn:btih:265e6d9d6bf5714c2b5c5b5d7af8b97f6708d742&dn=Guppies+-+In+Reference+to+Something+Forgotten+(2009)+%5BV0%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Athletes – Fall Apart [2011] [Single],Athletes,magnet:?xt=urn:btih:275be68a91d2774e57aaddddb67ffc1327d54a7a&dn=Athletes+-+Fall+Apart.mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Synthcake – Musicophilia [2011] [EP],Synthcake,magnet:?xt=urn:btih:4acc8a7ec1d213243d0afba6acfc39eb97746b62&dn=Synthcake+-Musicophilia+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Mon Petit Chou Chou – Headlights [2010] [EP],Mon Petit Chou Chou,magnet:?xt=urn:btih:1cf8ac618cd3a76ed8963f517a9b84ddc340ef6c&dn=Mon+Petit+Chou+Chou+-+Headlights+EP+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Seb – Butter [2011] [EP],Seb,magnet:?xt=urn:btih:e61abc5ecd55168399d8572e96f4b540be0992c4&dn=Seb+-+Butter+V0+-+Waffles&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Flembaz – Prompt [2013] [EP],Flembaz,magnet:?xt=urn:btih:65d081965e043d0c3fa8ab981c34cb0a74a378e9&dn=Flembaz+-+Prompt+EP+mp3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Addae Dans – Narcotic Lion [2011] [EP],Addae Dans,magnet:?xt=urn:btih:e2e4c893d7a1d1b76c32467773ae6036c3d16ff0&dn=Addae+Dans+-+Narcotic+Lion+EP+%5Bpanda.cd+Exclusive%5D+MP3&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Swamp – Three Cheers for the Firing Squad [2011] [EP],Swamp,magnet:?xt=urn:btih:a4936328dc62b4fd860e8d58f748e793144ae987&dn=Swamp+-+Three+Cheers+for+the+Firing+Squad+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
"The Black Atlantic – Darkling, I Listen [2012] [EP]",The Black Atlantic,magnet:?xt=urn:btih:10f184b2314dc3ca583e2f8d48dfb56480329cb2&dn=The+Black+Atlantic+-+Darkling%2C+I+Listen+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Zhe Nhir – Zhe End is Nhir [2009] [Album],Zhe Nhir,magnet:?xt=urn:btih:acb16c733bef6a34e96f7c25fa76a479e6ebcc30&dn=Zhe+Nhir+-+Zhe+End+is+Nhir+(V0)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Various Artists – Theory Of Everything [2012] [Compilation],null,magnet:?xt=urn:btih:f505275ad7d7fdfc1aa3daf4eeba5b9d563f1ee1&dn=I+Heart+Noise+-+Theory+Of+Everything+(320)+2012&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – [b. now] [2011] [EP],Sadsic,magnet:?xt=urn:btih:ea3f3a3b4f587c15585a1835e897effe1f7cabe4&dn=Sadsic+-+%5Bb.+now%5D+V0&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Amorist – The Amorist [2010] [EP],The Amorist,magnet:?xt=urn:btih:a765fd95bf11025bdf92401de45c5dd00e7db1d4&dn=The_Amorist-The_Amorist_EP&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Luke Seymoup – Uke Seymoup [2018] [EP],Luke Seymoup,magnet:?xt=urn:btih:ca3597997050b1ce93fe5a033cb8f79afc75f498&dn=Luke+Seymoup+-+Uke+Seymoup+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
